********************************************************************************
Field Output Report, written Thu Feb 22 21:47:43 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment     10: Step Time =    1.000

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label           S.S11           S.S11           S.S22           S.S22           S.S12           S.S12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
             147     1.62211E+03     1.62211E+03         1.44725         1.44725         21.3823         21.3823
             148     1.62236E+03     1.62236E+03         3.27665         3.27665         19.2890         19.2890
             149     1.62284E+03     1.62284E+03         4.67701         4.67701         17.4474         17.4474
             150     1.62347E+03     1.62347E+03         5.72219         5.72219         15.8225         15.8225
             151     1.62419E+03     1.62419E+03         6.47369         6.47369         14.3819         14.3819
             152     1.62497E+03     1.62497E+03         6.98301         6.98301         13.0972         13.0972
             153     1.62576E+03     1.62576E+03         7.29352         7.29352         11.9443         11.9443
             154     1.62656E+03     1.62656E+03         7.44193         7.44193         10.9030         10.9030
             155     1.62734E+03     1.62734E+03         7.45940         7.45940         9.95691         9.95691
             156     1.62809E+03     1.62809E+03         7.37245         7.37245         9.09276         9.09276
             157     1.62880E+03     1.62880E+03         7.20359         7.20359         8.29985         8.29985
             158     1.62947E+03     1.62947E+03         6.97198         6.97198         7.56965         7.56965
             159     1.63010E+03     1.63010E+03         6.69381         6.69381         6.89530         6.89530
             160     1.63068E+03     1.63068E+03         6.38278         6.38278         6.27124         6.27124
             161     1.63121E+03     1.63121E+03         6.05036         6.05036         5.69294         5.69294
             162     1.63170E+03     1.63170E+03         5.70616         5.70616         5.15659         5.15659
             163     1.63215E+03     1.63215E+03         5.35815         5.35815         4.65895         4.65895
             164     1.63256E+03     1.63256E+03         5.01289         5.01289         4.19716         4.19716
             165     1.63292E+03     1.63292E+03         4.67577         4.67577         3.76861         3.76861
             166     1.63325E+03     1.63325E+03         4.35112         4.35112         3.37089         3.37089
             167     1.63354E+03     1.63354E+03         4.04244         4.04244         3.00171         3.00171
             168     1.63380E+03     1.63380E+03         3.75251         3.75251         2.65883         2.65883
             169     1.63403E+03     1.63403E+03         3.48348         3.48348         2.34008         2.34008
             170     1.63423E+03     1.63423E+03         3.23703         3.23703         2.04327         2.04327
             171     1.63441E+03     1.63441E+03         3.01442         3.01442         1.76623         1.76623
