********************************************************************************
Field Output Report, written Sat Feb 24 11:10:47 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment      4: Step Time =   0.2857

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label         LE.LE11         LE.LE11         LE.LE22         LE.LE22         LE.LE12         LE.LE12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
              95     2.84905E-03     2.84905E-03    -905.960E-06    -905.960E-06    -1.79029E-06    -1.79029E-06
              96     2.85048E-03     2.85048E-03    -906.410E-06    -906.410E-06    -2.02113E-06    -2.02113E-06
              97     2.85208E-03     2.85208E-03    -906.917E-06    -906.917E-06    -2.27117E-06    -2.27117E-06
              98     2.85388E-03     2.85388E-03    -907.486E-06    -907.486E-06    -2.54076E-06    -2.54076E-06
              99     2.85589E-03     2.85589E-03    -908.122E-06    -908.122E-06    -2.82976E-06    -2.82976E-06
             100     2.85812E-03     2.85812E-03    -908.828E-06    -908.828E-06    -3.13738E-06    -3.13738E-06
             101     2.86059E-03     2.86059E-03    -909.611E-06    -909.611E-06    -3.46199E-06    -3.46199E-06
             102     2.86330E-03     2.86330E-03    -910.473E-06    -910.473E-06    -3.80086E-06    -3.80086E-06
             103     2.86628E-03     2.86628E-03    -911.418E-06    -911.418E-06    -4.14991E-06    -4.14991E-06
             104     2.86952E-03     2.86952E-03    -912.448E-06    -912.448E-06    -4.50332E-06    -4.50332E-06
             105     2.87302E-03     2.87302E-03    -913.564E-06    -913.564E-06    -4.85317E-06    -4.85317E-06
             106     2.87678E-03     2.87678E-03    -914.763E-06    -914.763E-06    -5.18897E-06    -5.18897E-06
             107     2.88078E-03     2.88078E-03    -916.042E-06    -916.042E-06    -5.49718E-06    -5.49718E-06
             108     2.88500E-03     2.88500E-03    -917.393E-06    -917.393E-06    -5.76069E-06    -5.76069E-06
             109     2.88939E-03     2.88939E-03    -918.804E-06    -918.804E-06    -5.95841E-06    -5.95841E-06
             110     2.89389E-03     2.89389E-03    -920.256E-06    -920.256E-06    -6.06486E-06    -6.06486E-06
             111     2.89844E-03     2.89844E-03    -921.725E-06    -921.725E-06    -6.05013E-06    -6.05013E-06
             112     2.90291E-03     2.90291E-03    -923.179E-06    -923.179E-06    -5.88001E-06    -5.88001E-06
             113     2.90719E-03     2.90719E-03    -924.577E-06    -924.577E-06    -5.51706E-06    -5.51706E-06
             114     2.91112E-03     2.91112E-03    -925.869E-06    -925.869E-06    -4.92188E-06    -4.92188E-06
             115     2.91449E-03     2.91449E-03    -926.993E-06    -926.993E-06    -4.05647E-06    -4.05647E-06
             116     2.91711E-03     2.91711E-03    -927.881E-06    -927.881E-06    -2.88744E-06    -2.88744E-06
