********************************************************************************
Field Output Report, written Sat Feb 24 11:10:47 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment      1: Step Time =   7.1429E-02

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label         LE.LE11         LE.LE11         LE.LE22         LE.LE22         LE.LE12         LE.LE12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
              63     710.324E-06     710.324E-06    -224.646E-06    -224.646E-06    -2.11319E-06    -2.11319E-06
              64     710.420E-06     710.420E-06    -224.756E-06    -224.756E-06    -1.80502E-06    -1.80502E-06
              65     710.502E-06     710.502E-06    -224.851E-06    -224.851E-06    -1.51441E-06    -1.51441E-06
              66     710.570E-06     710.570E-06    -224.932E-06    -224.932E-06    -1.23889E-06    -1.23889E-06
              67     710.625E-06     710.625E-06    -224.998E-06    -224.998E-06    -975.967E-09    -975.967E-09
              68     710.667E-06     710.667E-06    -225.049E-06    -225.049E-06    -723.140E-09    -723.140E-09
              69     710.697E-06     710.697E-06    -225.086E-06    -225.086E-06    -477.898E-09    -477.898E-09
              70     710.715E-06     710.715E-06    -225.108E-06    -225.108E-06    -238.366E-09    -238.366E-09
              71     710.840E-06     710.840E-06    -225.242E-06    -225.242E-06    -129.951E-09    -129.951E-09
              72     710.954E-06     710.954E-06    -225.368E-06    -225.368E-06    -136.113E-09    -136.113E-09
              73     711.066E-06     711.066E-06    -225.497E-06    -225.497E-06    -139.128E-09    -139.128E-09
              74     711.171E-06     711.171E-06    -225.624E-06    -225.624E-06    -138.832E-09    -138.832E-09
              75     711.266E-06     711.266E-06    -225.746E-06    -225.746E-06    -135.162E-09    -135.162E-09
              76     711.344E-06     711.344E-06    -225.859E-06    -225.859E-06    -128.109E-09    -128.109E-09
              77     711.403E-06     711.403E-06    -225.960E-06    -225.960E-06    -117.758E-09    -117.758E-09
              78     711.436E-06     711.436E-06    -226.045E-06    -226.045E-06    -104.254E-09    -104.254E-09
              79     711.439E-06     711.439E-06    -226.111E-06    -226.111E-06    -87.8744E-09    -87.8744E-09
              80     711.410E-06     711.410E-06    -226.154E-06    -226.154E-06    -68.9071E-09    -68.9071E-09
              81     711.345E-06     711.345E-06    -226.172E-06    -226.172E-06    -47.9199E-09    -47.9199E-09
              82     711.240E-06     711.240E-06    -226.162E-06    -226.162E-06    -25.2933E-09    -25.2933E-09
              83     711.187E-06     711.187E-06    -226.153E-06    -226.153E-06    -24.8554E-09    -24.8554E-09
              84     711.214E-06     711.214E-06    -226.162E-06    -226.162E-06    -48.6980E-09    -48.6980E-09
              85     711.260E-06     711.260E-06    -226.176E-06    -226.176E-06    -74.1453E-09    -74.1453E-09
              86     711.325E-06     711.325E-06    -226.197E-06    -226.197E-06    -100.652E-09    -100.652E-09
              87     711.411E-06     711.411E-06    -226.224E-06    -226.224E-06    -128.679E-09    -128.679E-09
              88     711.518E-06     711.518E-06    -226.257E-06    -226.257E-06    -158.603E-09    -158.603E-09
              89     711.648E-06     711.648E-06    -226.298E-06    -226.298E-06    -190.813E-09    -190.813E-09
              90     711.803E-06     711.803E-06    -226.347E-06    -226.347E-06    -225.688E-09    -225.688E-09
              91     711.986E-06     711.986E-06    -226.405E-06    -226.405E-06    -263.604E-09    -263.604E-09
              92     712.198E-06     712.198E-06    -226.471E-06    -226.471E-06    -304.927E-09    -304.927E-09
              93     712.442E-06     712.442E-06    -226.548E-06    -226.548E-06    -350.009E-09    -350.009E-09
              94     712.721E-06     712.721E-06    -226.637E-06    -226.637E-06    -399.178E-09    -399.178E-09
              95     713.039E-06     713.039E-06    -226.737E-06    -226.737E-06    -452.725E-09    -452.725E-09
              96     713.398E-06     713.398E-06    -226.850E-06    -226.850E-06    -510.894E-09    -510.894E-09
              97     713.803E-06     713.803E-06    -226.978E-06    -226.978E-06    -573.860E-09    -573.860E-09
              98     714.256E-06     714.256E-06    -227.122E-06    -227.122E-06    -641.701E-09    -641.701E-09
              99     714.762E-06     714.762E-06    -227.282E-06    -227.282E-06    -714.374E-09    -714.374E-09
             100     715.324E-06     715.324E-06    -227.460E-06    -227.460E-06    -791.668E-09    -791.668E-09
             101     715.946E-06     715.946E-06    -227.657E-06    -227.657E-06    -873.159E-09    -873.159E-09
             102     716.629E-06     716.629E-06    -227.873E-06    -227.873E-06    -958.149E-09    -958.149E-09
             103     717.377E-06     717.377E-06    -228.111E-06    -228.111E-06    -1.04559E-06    -1.04559E-06
             104     718.191E-06     718.191E-06    -228.370E-06    -228.370E-06    -1.13401E-06    -1.13401E-06
             105     719.071E-06     719.071E-06    -228.650E-06    -228.650E-06    -1.22139E-06    -1.22139E-06
             106     720.015E-06     720.015E-06    -228.951E-06    -228.951E-06    -1.30507E-06    -1.30507E-06
             107     721.019E-06     721.019E-06    -229.272E-06    -229.272E-06    -1.38164E-06    -1.38164E-06
             108     722.076E-06     722.076E-06    -229.610E-06    -229.610E-06    -1.44676E-06    -1.44676E-06
             109     723.176E-06     723.176E-06    -229.964E-06    -229.964E-06    -1.49514E-06    -1.49514E-06
             110     724.303E-06     724.303E-06    -230.327E-06    -230.327E-06    -1.52035E-06    -1.52035E-06
             111     725.439E-06     725.439E-06    -230.694E-06    -230.694E-06    -1.51488E-06    -1.51488E-06
             112     726.557E-06     726.557E-06    -231.057E-06    -231.057E-06    -1.47016E-06    -1.47016E-06
             113     727.624E-06     727.624E-06    -231.405E-06    -231.405E-06    -1.37681E-06    -1.37681E-06
             114     728.599E-06     728.599E-06    -231.727E-06    -231.727E-06    -1.22500E-06    -1.22500E-06
             115     729.437E-06     729.437E-06    -232.005E-06    -232.005E-06    -1.00527E-06    -1.00527E-06
             116     730.082E-06     730.082E-06    -232.224E-06    -232.224E-06    -709.358E-09    -709.358E-09
             117     730.475E-06     730.475E-06    -232.364E-06    -232.364E-06    -331.858E-09    -331.858E-09
             118     730.556E-06     730.556E-06    -232.403E-06    -232.403E-06     128.358E-09     128.358E-09
             119     730.263E-06     730.263E-06    -232.322E-06    -232.322E-06     665.825E-09     665.825E-09
             120     729.543E-06     729.543E-06    -232.103E-06    -232.103E-06     1.26675E-06     1.26675E-06
             121     728.358E-06     728.358E-06    -231.730E-06    -231.730E-06     1.90716E-06     1.90716E-06
             122     726.689E-06     726.689E-06    -231.197E-06    -231.197E-06     2.55208E-06     2.55208E-06
             123     724.551E-06     724.551E-06    -230.505E-06    -230.505E-06     3.15663E-06     3.15663E-06
             124     721.993E-06     721.993E-06    -229.671E-06    -229.671E-06     3.66461E-06     3.66461E-06
             125     719.460E-06     719.460E-06    -228.908E-06    -228.908E-06     7.41303E-06     7.41303E-06
             126     720.939E-06     720.939E-06    -229.602E-06    -229.602E-06     13.3369E-06     13.3369E-06
             127     722.702E-06     722.702E-06    -230.530E-06    -230.530E-06     17.7359E-06     17.7359E-06
             128     724.731E-06     724.731E-06    -231.709E-06    -231.709E-06     20.9713E-06     20.9713E-06
             129     727.059E-06     727.059E-06    -233.205E-06    -233.205E-06     23.2781E-06     23.2781E-06
             130     729.745E-06     729.745E-06    -235.122E-06    -235.122E-06     24.7345E-06     24.7345E-06
             131     732.869E-06     732.869E-06    -237.597E-06    -237.597E-06     25.2454E-06     25.2454E-06
             132     736.502E-06     736.502E-06    -240.796E-06    -240.796E-06     24.5042E-06     24.5042E-06
             133     740.667E-06     740.667E-06    -244.883E-06    -244.883E-06     21.9106E-06     21.9106E-06
             134     745.251E-06     745.251E-06    -249.958E-06    -249.958E-06     16.4980E-06     16.4980E-06
             135     749.831E-06     749.831E-06    -255.921E-06    -255.921E-06     6.88003E-06     6.88003E-06
             136     753.429E-06     753.429E-06    -262.203E-06    -262.203E-06    -8.42579E-06    -8.42579E-06
             137     743.129E-06     743.129E-06    -261.574E-06    -261.574E-06     45.1768E-06     45.1768E-06
             138     733.716E-06     733.716E-06    -254.693E-06    -254.693E-06     50.2604E-06     50.2604E-06
             139     725.830E-06     725.830E-06    -248.057E-06    -248.057E-06     50.9517E-06     50.9517E-06
             140     719.646E-06     719.646E-06    -242.264E-06    -242.264E-06     48.9654E-06     48.9654E-06
             141     714.989E-06     714.989E-06    -237.459E-06    -237.459E-06     45.5886E-06     45.5886E-06
             142     711.586E-06     711.586E-06    -233.591E-06    -233.591E-06     41.6718E-06     41.6718E-06
             143     709.161E-06     709.161E-06    -230.528E-06    -230.528E-06     37.7062E-06     37.7062E-06
             144     707.480E-06     707.480E-06    -228.130E-06    -228.130E-06     33.9507E-06     33.9507E-06
             145     706.356E-06     706.356E-06    -226.271E-06    -226.271E-06     30.5214E-06     30.5214E-06
             146     705.647E-06     705.647E-06    -224.845E-06    -224.845E-06     27.4530E-06     27.4530E-06
             147     705.245E-06     705.245E-06    -223.766E-06    -223.766E-06     24.7373E-06     24.7373E-06
             148     705.070E-06     705.070E-06    -222.967E-06    -222.967E-06     22.3445E-06     22.3445E-06
             149     705.061E-06     705.061E-06    -222.393E-06    -222.393E-06     20.2371E-06     20.2371E-06
